[ 14059]
[burnett 1]
[burnett, 1]
[burrell, 1]
[burroughs 6]
[burroughs. 1]
[burrus, 1]
[burstall, 1]
[burtnyk, 1]
[burton 1]
[burton, 1]
[busam, 2]
[busenberg, 1]
[bush, 1]
[business 43]
[business" 1]
[businesses 1]
[businessman-analyst-manager. 1]
[business-oriented 2]
[busing, 1]
[businger, 3]
[busy. 1]
[but 163]
[butcher 2]
[butler, 2]
[buttons. 1]
[buy 2]
[buzen, 1]
[bx 1]
[by 1215]
[by, 2]
[by: 1]
[byan 1]
[bypass 2]
[bypassed 1]
[bypassed-is 1]
[bypassing 1]
[byproduct 1]
[by-product 1]
[by-product, 1]
[byrne, 3]
[byte 3]
[bytes 3]
[c 7]
[c(i) 1]
[c. 392]
[c.a.r. 1]
[c.g. 1]
[c.h. 1]
[c.k. 1]
[c.l. 1]
[c.mmp, 1]
[c.r. 2]
[c.s. 1]
[c.s.i.r.o. 2]
[c191) 1]
[c266) 1]
[c363) 1]
[c379) 1]
[c380) 1]
[c386) 1]
[c407) 1]
[c446) 1]
[c451) 1]
[c5]) 1]
[ca590406) 1]
[cable. 1]
[cache 1]
[cache, 2]
[cached 1]
[cacm 1]
[cadep 1]
[cadep, 1]
[cadwell, 1]
[caffery, 1]
[caffrey, 3]
[cai 3]
[cai, 2]
[cain 1]
[cain, 1]
[caizergues, 1]
[cal, 1]
[calculable 1]
[calculate 6]
[calculated 16]
[calculated. 3]
[calculates 2]
[calculating 13]
[calculation 56]
[calculation, 5]
[calculation. 4]
[calculational 1]
[calculations 19]
[calculations, 2]
[calculations. 3]
[calculator 1]
[calculi 3]
[calculi. 1]
[calculus 10]
[calculus, 8]
[calculus. 6]
[caldwell, 1]
[cale, 1]
[calen 1]
[calendar 12]
[calendar, 1]
[calibration 1]
[calibration, 1]
[california 3]
[california, 2]
[california. 1]
[calingaert, 1]
[call 15]
[call, 3]
[call. 2]
[callahan, 1]
[called 76]
[called. 1]
[caller. 1]
[calling 6]
[calls 11]
[calls, 2]
[calls. 1]
[calorimeter. 1]
[cam 2]
[cambridge 1]
[came 2]
[camera 1]
[cameron, 1]
[campaign 1]
[campus 1]
[cams 1]
[can 588]
[can, 3]
[canaday, 1]
[cancel 1]
[candidates 4]
[cannon, 1]
[cannot 24]
[cannot) 1]
[canonical 8]
[canter, 1]
[cantrell, 2]
[capabilities 40]
[capabilities, 7]
[capabilities. 6]
[capability 21]
[capability, 1]
[capability. 3]
[capability-based 3]
[capable 20]
[capacitated 4]
[capacities 4]
[capacitive 2]
[capacity 10]
[capacity, 3]
[capitalization, 1]
[capon, 1]
[caps 5]
[capt. 2]
[capture 1]
[car, 1]
[car-cdr 1]
[card 20]
[card, 3]
[cardenas, 3]
[cardiac-output 1]
[cardinal 3]
[cardiography 2]
[cardiovascular 1]
[cards 4]
[cards"* 1]
[cards* 1]
[cards, 1]
[cards. 1]
[card-to-braille 1]
[care 8]
[care, 1]
[careers 2]
[careful 5]
[carefully 7]
[carey 1]
[carlo 16]
[carlo, 4]
[carloquadrature, 1]
[carlson, 3]
[carmer, 1]
[carmody, 1]
[carnegie-mellon 2]
[carolina 1]
[carolina. 1]
[carolo 1]
[carotid 3]
[carr 6]
[carriage 1]
[carried 14]
[carries 2]
[carry 5]
[carrying 6]
[cars 3]
[cars) 1]
[cars, 1]
[carstensen, 1]
[carta, 1]
[carter, 1]
[cartesian 1]
[cartography 1]
[cartography, 2]
[cascade, 1]
[cascading 2]
[cascading. 1]
[case 80]
[case, 14]
[case,it 1]
[case. 7]
[case-construction, 1]
[cases 35]
[cases), 1]
[cases, 10]
[cases. 12]
[cases; 1]
[caseworkers, 1]
[caseworkers. 1]
[casey, 2]
[cash 1]
[cash, 1]
[cast 1]
[casual 4]
[cat: 1]
[catalog 4]
[cataloged 2]
[catalogue 2]
[catalyst, 1]
[catastrophe 1]
[catastrophe, 1]
[categories 5]
[categories--4.12 1]
[categorized 2]
[category 2]
[category. 1]
[catering 1]
[cathode 2]
[cathode-ray 5]
[catmull 1]
[cauchy 5]
[cauchy-ostrowski 2]
[caught 1]
[cause 10]
[cause. 1]
[caused 11]
[causes 4]
[causing 2]
[cautin, 1]
[cave, 1]
[cavin, 1]
[caviness, 1]
[cavouras, 1]
[ccd 3]
[ccohen, 1]
[ccp 1]
[cdc 16]
[cdc-1604 1]
[cdc-1604. 1]
[cdc-3600 1]
[cdc-6000, 2]
[cdc-6500 1]
[cdr, 1]
[cdr-coding, 1]
[cdrs 1]
[cecchi, 1]
[c-e-i-r 1]
[celestial 6]
[cell 11]
[cell, 2]
[cell. 1]
[cellar. 1]
[cells 10]
[cells), 1]
[cells, 2]
[cells. 1]
[cell-types 1]
[cellular 11]
[cellularization, 1]
[census 3]
[census, 1]
[cent 1]
[center 29]
[center, 3]
[center. 3]
[centered 1]
[centering, 1]
[centers 5]
[centers' 1]
[centers, 3]
[central 35]
[central-european 1]
[centrality 1]
[centralization 1]
[centralization, 1]
[centralized 1]
[central-server 1]
[centroid 1]
[cep 7]
[cermak, 1]
[certain 152]
[certainly 2]
[certification 13]
[certification, 4]
[cf 2]
[cft 1]
[cft, 1]
[chain 11]
[chain, 1]
[chain. 1]
[chained 3]
[chained, 1]
[chaining 9]
[chaining, 5]
[chaining. 1]
[chain-linked 2]
[chains 2]
[chains, 1]
[chaired 1]
[chairman 4]
[chairmen 1]
[challenge 1]
[challenging 1]
[chamber 2]
[chamberlin, 1]
[chamberlin,d. 1]
[chambers, 2]
[champ-character 1]
[championship 1]
[chan, 1]
[chance 1]
[chandler, 2]
[chandra, 1]
[chandy, 4]
[chang, 7]
[change 18]
[change, 4]
[change. 5]
[changeable) 1]
[changed 8]
[changed. 1]
[change-making 1]
[changes 41]
[changes, 3]
[changes. 1]
[changing 14]
[channel 5]
[channel, 4]
[channel. 2]
[channels 4]
[channels, 1]
[channels. 2]
[chapin, 1]
[chapman, 1]
[character 72]
[character, 2]
[character. 3]
[character-by-character 3]
[character-handling 1]
[characteristic 26]
[characteristic, 2]
[characteristically 1]
[characteristics 75]
[characteristics, 8]
[characteristics. 8]
[characterization 2]
[characterize 5]
[characterized 13]
[characterized. 1]
[characterizes 1]
[characterizing 2]
[character-oriented 1]
[characters 43]
[characters, 7]
[characters. 9]
[character-strings, 1]
[character-transmission 1]
[charge 2]
[charged 2]
[chargeout 2]
[chargeout, 1]
[chargeout. 1]
[charges 1]
[charges, 2]
[charges. 1]
[charging, 1]
[charles 1]
[charmonman, 1]
[charnes, 1]
[chart 6]
[chart,problem 1]
[charting 2]
[chartres, 3]
[charts 2]
[chase, 7]
[chattergy, 1]
[cheap 1]
[cheaply. 1]
[cheatham 2]
[cheatham, 1]
[chebyschev 4]
[chebyshev 48]
[check 9]
[check, 1]
[checked 1]
[checked-out 1]
[checker 3]
[checkerboard 1]
[checkers, 1]
[checking 21]
[checking, 4]
[checking. 3]
[checklist 1]
[checkout, 2]
[checkpoint 3]
[checkpoint, 2]
[checkpointing 1]
[checkpoints, 1]
[checks 4]
[checks, 1]
[checks. 1]
[checksum 1]
[chemical 8]
[chemistry 2]
[chemistry, 1]
[chemistry. 1]
[chen 1]
[chen, 1]
[cheney, 1]
[cheney's 2]
[cheng, 2]
[cheriton, 1]
[cherry, 1]
[chess 11]
[chess, 1]
[cheung, 1]
[chi 1]
[chiang, 1]
[chief 4]
[chile 2]
[chilean 2]
[chin, 1]
[china 2]
[china, 1]
[chinese 6]
[chino 2]
[chino. 1]
[chip 1]
[chi-square 5]
[chi-square, 1]
[chi-squared 3]
[chiu, 1]
[choice 40]
[choice, 3]
[choice. 2]
[choices 7]
[choices. 1]
[chomsky 1]
[chomsky, 1]
[chomsky-language, 1]
[chomsky's 1]
[choose 7]
[chooses 1]
[choosing 7]
[chop 3]
[chopping 1]
[chosen 22]
[chosen, 1]
[chosen.more 1]
[ch'ou 1]
[chow, 1]
[chrisoffel 1]
[christensen, 1]
[christman, 1]
[christoffel 1]
[christopher, 1]
[chromosomes. 1]
[chronological 1]
[chronologically, 1]
[chronology 1]
[chrysler, 1]
[chu, 5]
[chunks 1]
[church's 4]
[cigarette 2]
[cincinnati 2]
[cipher 3]
[cipher. 2]
[ciphers 8]
[ciphers, 2]
[circa 1]
[circle 5]
[circle, 1]
[circle. 1]
[circles 4]
[circuit 22]
[circuit, 3]
[circuits 14]
[circuits, 2]
[circuits. 3]
[circular 14]
[circular, 1]
[circularity 4]
[circulated 1]
[circulating 1]
[circumstances 6]
[circumstances, 1]
[circumstances. 2]
[circumvent 2]
[circumvented 1]
[citation 1]
[cited 1]
[city 6]
[city. 1]
[civil 1]
[cl-1, 1]
[claim 5]
[claimed 3]
[claims. 1]
[clampett 1]
[clancy, 1]
[clapp, 2]
[clapson, 1]
[clarification 4]
[clarification, 2]
[clarifications 1]
[clarifies 2]
[clarify 6]
[clarifying 4]
[claringbold, 2]
[clarity 2]
[clark, 11]
[clarke, 2]
[clarkson, 1]
[clasen, 1]
[class 86]
[class, 5]
[class. 2]
[class; 1]
[classes 39]
[classes, 6]
[classes. 5]
[classic 5]
[classical 14]
[classically 1]
[classifiable 1]
[classification 19]
[classification, 3]
[classification. 1]
[classifications 1]
[classified 4]
[classified, 1]
[classifies 2]
[classify 2]
[classifying 2]
[classroom 2]
[classroom-independent 1]
[class-teacher 6]
[claudson, 1]
[clausal 1]
[clause 1]
[clause, 2]
[clausen, 1]
[clauses 2]
[clauses, 1]
[claussen, 1]
[clean 2]
[cleaned 1]
[clear 7]
[clear, 1]
[clear. 2]
[clearance 1]
[clearly 6]
[clears 1]
[cleary, 1]
[clebsch-gordan 1]
[clemm, 1]
[clendenin, 1]
[clenshaw 3]
[clenshaw-curtis 8]
[clerical 1]
[clerk-coders. 1]
[clerks. 1]
[clients, 1]
[client-tracking 2]
[climate 1]
[climenson, 1]
[cline, 3]
[clingen, 1]
[clinic 3]
[clinical 7]
[clip 3]
[clipped 1]
[clipping 14]
[clippinger, 1]
[clique 4]
[cliques 3]
[cliques, 1]
[clock 4]
[clock, 3]
[clock-driven. 1]
[clocks 4]
[clocks, 2]
[close 8]
[closed 22]
[closed-form 3]
[closely 7]
[closer 2]
[closest 1]
[closet 2]
[closing 1]
[closure 3]
[closure, 3]
[closure. 1]
[cloud 2]
[clp 1]
[clp, 2]
[clp-the 1]
[clu 6]
[clu. 1]
[club 1]
[clues 1]
[cluster 5]
[clustered 1]
[clustering 11]
[clustering, 13]
[clusters, 2]
[clusters. 2]
[cluttered 1]
[coastlines, 1]
[co-authors 1]
[coaxial 1]
[cobb, 1]
[cobol 64]
[cobol, 7]
[cobol. 2]
[cobol: 2]
[cobol? 1]
[cobol-61. 1]
[cobolin 1]
[cocke 1]
[cocke, 2]
[codas, 1]
[codas: 1]
[codasyl 4]
[codd, 4]
[codd's 1]
[code 141]
[code" 1]
[code) 1]
[code), 1]
[code* 1]
[code, 34]
[code. 17]
[code? 1]
[coded 22]
[coded. 2]
[code-nundrums 1]
[coder 1]
[codes 40]
[codes, 9]
[codes. 8]
[codes; 2]
[codes-by 1]
[codeword 2]
[codewords 2]
[codewords, 2]
[codified 1]
[coding 44]
[coding, 23]
[coding. 3]
[coding-is 1]
[cody, 4]
[coefficient 10]
[coefficient. 1]
[coefficients 40]
[coefficients, 18]
[coefficients. 6]
[coercion, 1]
[coercions, 1]
[coexisting 1]
[coffman 5]
[coffman, 4]
[cognates. 1]
[cognition 1]
[cognition, 1]
[cognitive 6]
[cohen, 7]
[coherence 1]
[coherent 1]
[cohesion, 1]
[cohn, 1]
[coif, 1]
[coincide 2]
[coincidence 1]
[coko 4]
[coko's 2]
[cold 1]
[cold-start 4]
[coleman, 1]
[colilla, 1]
[colinear 2]
[colker, 2]
[collates 1]
[collating 1]
[colleagues 1]
[collect 2]
[collected 3]
[collected, 1]
[collected. 1]
[collection 53]
[collection, 17]
[collection. 1]
[collection: 1]
[collections 4]
[collectively 2]
[collector 5]
[collector, 4]
[collector. 1]
[collectors, 1]
[college 9]
[college, 1]
[colleges 9]
[colleges, 4]
[colleges. 2]
[collens, 2]
[collier, 1]
[collinge, 1]
[collinge,r. 1]
[collins 3]
[collins' 3]
[collins, 5]
[collision 4]
[collision-free 2]
[collision-resolution 1]
[collisions 4]
[collisions, 3]
[collisions. 1]
[collison, 8]
[collom 1]
[color 8]
[coloration 2]
[coloration, 1]
[colored 2]
[coloring 6]
[coloring, 2]
[colors 1]
[colton, 3]
[columbia 1]
[column 16]
[column-)oriented 1]
[columns 3]
[columns. 1]
[combat 1]
[combats 1]
[combination 29]
[combination. 1]
[combinational 2]
[combinations 25]
[combinations, 8]
[combinator, 1]
[combinatorial 33]
[combinatorial, 2]
[combinatorially 1]
[combinatorics 3]
[combinatorics, 5]
[combinatorics,coding 1]
[combine 3]
[combined 28]
[combined. 1]
[combines 8]
[combining 15]
[come 2]
[come. 1]
[comes 2]
[comfort, 1]
[coming 3]
[comit 5]
[comit, 2]
[comm. 6]
[command 32]
[command, 2]
[command. 3]
[commands 14]
[commands" 1]
[commands, 4]
[commands. 3]
[commas 1]
[commas, 1]
[comment 23]
[comment. 1]
[commentary 1]
[commentators 1]
[commentators, 1]
[commentators. 1]
[comments 31]
[comments"-constructions 1]
[comments, 1]
[commercial 6]
[commercially 2]
[commission 2]
[committed 1]
[committee 31]
[committee, 1]
[committee.) 1]
[committee's 4]
[common 84]
[common, 3]
[commonly 19]
[commonly, 1]
[common-wealth 1]
[communicants 1]
[communicate 6]
[communicate, 1]
[communicates 1]
[communicating 14]
[communicating, 1]
[communication 58]
[communication, 36]
[communication," 2]
[communication. 3]
[communication; 1]
[communication-an 1]
[communications 25]
[communications, 7]
[communications," 2]
[communicator. 1]
[communist 3]
[community 8]
[community, 1]
[community. 2]
[commutator 2]
[compact 21]
[compact, 1]
[compact; 1]
[compactification, 1]
[compactifying 3]
[compacting 4]
[compacting, 3]
[compacting,garbage 1]
[compaction 5]
[compaction, 3]
[compaction,storage 1]
[compactness 1]
[compactness, 2]
[companion 3]
[company 3]
[company; 1]
[company's 2]
[comparable 14]
[comparative 15]
[comparatively 1]
[compare 12]
[compare, 1]
[compared 66]
[compared, 1]
[compared. 14]
[compares 13]
[comparing 13]
[comparison 83]
[comparison, 4]
[comparison. 2]
[comparisons 25]
[comparisons, 2]
[compass 2]
[compatibility 14]
[compatibility. 1]
[compatible 10]
[compatible. 1]
[compatible? 1]
[compensate 1]
[compensating. 1]
[competence 1]
[competing 3]
[competitive 2]
[compilation 27]
[compilation, 13]
[compilations 1]
[compile 12]
[compile. 1]
[compile-and-go 1]
[compiled 11]
[compiled, 2]
[compiled. 1]
[compiler 108]
[compiler" 1]
[compiler) 3]
[compiler* 1]
[compiler, 22]
[compiler. 12]
[compiler/interpreter 1]
[compiler: 1]
[compiler-building 1]
[compiler-compiler 4]
[compiler-compiler, 3]
[compiler-compiler. 1]
[compiler-compilers 1]
[compiler-generated 1]
[compiler-independent. 1]
[compiler-machine 1]
[compilers 25]
[compilers"; 1]
[compilers, 33]
[compilers. 8]
[compilers; 1]
[compiler-writer 1]
[compiles 1]
[compile-time 1]
[compiling 24]
[compiling) 1]
[compiling, 2]
[compiling. 1]
[complement 20]
[complement, 1]
[complementarity 2]
[complementary 9]
[complementation 1]
[complemented 1]
[complete 59]
[complete, 3]
[complete. 3]
[complete; 1]
[completed 6]
[completed. 1]
[completely 22]
[completeness 5]
[completeness, 1]
[completeness. 1]
[completes 2]
[completing 1]
[completion 4]
[completions 1]
[complex 143]
[complex, 1]
[complex. 2]
[complexes, 1]
[complexities 3]
[complexity 48]
[complexity), 1]
[complexity, 23]
[complexity. 7]
[complex-relation-forming 1]
[complex-variable 1]
[complicated 15]
[complicated; 1]
[complicates 2]
[complicating 1]
[complications 2]
[complying 1]
[component 21]
[component, 3]
[component. 1]
[components 30]
[components, 3]
[components. 4]
[components: 4]
[compose, 1]
[composed 7]
[composed, 1]
[composing 6]
[composite 8]
[composition 14]
[composition) 1]
[composition, 11]
[composition,music 1]
[composition. 3]
[compositions 2]
[compositions, 1]
[compound 3]
[comprehend 4]
[comprehender 1]
[comprehender: 1]
[comprehending 1]
[comprehends 2]
[comprehensibility 1]
[comprehension 2]
[comprehension, 4]
[comprehension. 1]
[comprehensive 11]
[compress 1]
[compressed 8]
[compressed. 1]
[compressed; 1]
[compressing 4]
[compression 13]
[compression, 13]
[compressor 1]
[compressors, 1]
[comprise 1]
[comprises 1]
[comprising 1]
[compromise 7]
[compromise, 1]
[computability 4]
[computability, 2]
[computable 4]
[computation 123]
[computation, 12]
[computation. 13]
[computational 99]
[computationally 16]
[computationally. 1]
[computations 27]
[computations, 6]
[computations. 5]
[compute 27]
[compute-compute 1]
[computed 28]
[computed. 3]
[computer 1048]
[computer- 1]
[computer) 1]
[computer). 1]
[computer, 17]
[computer. 59]
[computer." 1]
[computer: 2]
[computer-acceptable 1]
[computer-aided 21]
[computer-aided-dispatch 1]
[computer-assigned 1]
[computer-assisted 6]
[computer-based 9]
[computer-communications 5]
[computer-controlled 3]
[computer-display 1]
[computer-drawn 1]
[computer-drive 1]
[computer-economic 1]
[computer-generated 2]
[computerization 1]
[computerize 1]
[computerized 12]
[computer-made 1]
[computer-oriented 3]
[computer-produced, 1]
[computer-readable 1]
[computer-related 1]
[computers 126]
[computers- 1]
[computer's 8]
[computers, 26]
[computers. 17]
[computers? 1]
[computers-aided 1]
[computer-science 1]
[computer-searchable 2]
[computer-search-able 1]
[computer-sharing 1]
[computers-progress 1]
[computer-usage 1]
[computer-using 1]
[computes 4]
[computing 172]
[computing, 22]
[computing. 1]
[comstock, 1]
[con 1]
[concatenate 3]
[concatenated 1]
[concatenation 4]
[concatenation, 3]
[concatenation. 1]
[concave 3]
[concavity 1]
[conceived 4]
[concentrate 2]
[concentrated 1]
[concentrated, 1]
[concentrates 1]
[concentrating 1]
[concentration 2]
[concentric 2]
[concept 61]
[concept, 7]
[concept. 5]
[conception 4]
[conceptions 1]
[concepts 48]
[concepts, 6]
[concepts. 7]
[conceptual 15]
[conceptualizations 1]
[conceptualizing 1]
[conceptually 4]
[concern 5]
[concerned 25]
[concerned. 1]
[concerning 27]
[concerns 5]
[concise 5]
[concise, 1]
[concisely 2]
[concisely. 1]
[conclude 4]
[concluded 12]
[concludes 9]
[concluding 1]
[conclusion 6]
[conclusion, 2]
[conclusions 16]
[conclusive; 1]
[conclusively 1]
[concordance 2]
[concordances) 1]
[concrete 4]
[concurrency 1]
[concurrency, 4]
[concurrent 27]
[concurrently 3]
[con-currently 1]
[concurrently, 1]
[condensation 2]
[condensed 4]
[condition 21]
[condition) 1]
[condition, 1]
[condition. 2]
[conditional 27]
[conditional, 1]
[conditionally 1]
[conditioned, 1]
[conditions 70]
[conditions, 18]
[conditions. 11]
[conditions: 1]
[conducive 2]
[conduct 2]
[conduct, 1]
[conducted 13]
[conducting 4]
[conduction 2]
[conductor 1]
[cones, 1]
[conference 9]
[conference, 1]
[confidence 3]
[confidential 5]
[confidentiality 1]
[confidentiality, 1]
[configuration 14]
[configuration, 5]
[configuration. 3]
[configurations 11]
[configurations) 1]
[configurations, 3]
[configurations. 1]
[configure 2]
[configuring 1]
[confine 1]
[confined 2]
[confinement 3]
[confinement, 2]
[confines 1]
[confining 1]
[confirm 2]
[confirmed 1]
[conflict 8]
[conflict. 1]
[conflict-free 2]
[conflicting 1]
[conflicts 10]
[conflicts, 2]
[confluent 4]
[conform 1]
[conformable 1]
[conforming 1]
[conforms 2]
[confront 1]
[confused 1]
[confusing 1]
[conger, 1]
[congress 2]
[congressional 1]
[congruent 1]
[congruential 7]
[conjecture 2]
[conjectured 1]
[conjectures 1]
[conjugate 6]
[conjunction 17]
[conjunction, 1]
[connect 3]
[connect, 1]
[connected 26]
[connecting 1]
[connection 13]
[connection). 1]
[connection. 1]
[connections 6]
[connections" 1]
[connections, 1]
[connectives 2]
[connectivity 3]
[connectivity, 1]
[connotations. 1]
[conquer" 1]
[conrow, 1]
[cons 1]
[cons, 2]
[conscious 1]
[consecutive 15]
[consecutive, 1]
[consecutively, 1]
[consequence 4]
[consequence, 2]
[consequences 3]
[consequences: 2]
[consequently 3]
[consequently, 3]
[conserves 1]
[consider 15]
[considerable 16]
[considerably 12]
[consideration 15]
[consideration. 4]
[considerations 20]
[considerd 1]
[considered 56]
[considered, 12]
[considered. 46]
[considered: 3]
[considered; 2]
[considered-multiple 1]
[considering 8]
[considers 11]
[consist 6]
[consisted 5]
[consistency 10]
[consistency, 3]
[consistent 4]
[consistent. 1]
[consisting 10]
[consists 45]
[console 14]
[console, 3]
[console. 1]
[console." 1]
[consoles 4]
[consoles, 1]
[consoles. 1]
[consolidated 1]
[consolidates 1]
[consolidations 1]
[consortium, 1]
[constant 28]
[constant, 2]
[constant. 5]
[constants 10]
[constants, 1]
[constants. 2]
[constellation 1]
[constituent 3]
[constituents 1]
[constitute 4]
[constituted 1]
[constitutes 4]
[constituting 1]
[constrain 8]
[constrained 5]
[constraint 7]
[constraint) 1]
[constraint, 1]
[constraints 32]
[constraints, 3]
[constraints. 8]
[constraints; 1]
[constraint-type 1]
[construct 23]
[constructed 33]
[constructed, 3]
[constructed. 2]
[constructing 33]
[construction 56]
[construction, 8]
[construction. 4]
[constructions 2]
[constructions, 1]
[constructive 1]
[constructs 15]
[constructs, 3]
[constructs. 1]
[consultant. 1]
[consulting 1]
[consume 3]
[consumed 1]
[consumer 3]
[consumers 3]
[consumers. 1]
[consuming 2]
[consuming-must 1]
[consummation 1]
[consumption 1]
[contactless 1]
[contacts 2]
[contain 17]
[contained 11]
[contained. 2]
[container 1]
[containing 34]
[contains 24]
[conte, 6]
[contemplated 1]
[contemporary 6]
[contended 1]
[contending 1]
[contends 1]
[content 22]
[content, 4]
[content. 1]
[content-addressable 1]
[content-addressed 1]
[contention 3]
[contention, 1]
[contents 10]
[contents. 1]
[content-searching 1]
[contents-independent) 1]
[context 33]
[context, 2]
[context. 6]
[context-free 60]
[contexts 6]
[contexts. 5]
[context-sensitive 8]
[context-switching 1]
[contextual 2]
[contiguity, 2]
[contiguous 6]
[continent. 1]
[contingency 5]
[contingent 1]
[continual 1]
[continually 4]
[continuation, 1]
[continuations 1]
[continue 3]
[continue, 1]
[continue. 2]
[continued 22]
[continues 1]
[continuing 7]
[continuity 4]
[continuity, 1]
[continuous 26]
[continuous-flow 1]
[continuously 8]
[continuously, 1]
[contour 43]
[contour. 1]
[contoured. 1]
[contouring 1]
[contouring, 2]
[contouring/positioning 1]
[contour-map 1]
[contours 4]
[contours. 3]
[contracted 1]
[contracting 1]
[contraction 2]
[contraction, 1]
[contracts, 1]
[contradiction, 1]
[contradictions 1]
[contradictory 1]
[contradictory, 1]
[contrary 1]
[contrast 5]
[contrast, 1]
[contrast. 1]
[contrast: 1]
[contrasted 2]
[contrasted, 1]
[contrasted: 1]
[contribute 4]
[contributed 3]
[contributes 2]
[contribution 7]
[contributions 4]
[control 226]
[control") 1]
[control, 35]
[control. 4]
[control: 1]
[controllable 3]
[controlled 23]
[controlled. 1]
[controller 4]
[controller. 2]
[controlling 8]
[controls 6]
[controls), 1]
[controls. 1]
[controversy. 1]
[convenience 5]
[convenience, 1]
[conveniences 1]
[convenient 14]
[convenient, 2]
[conveniently 6]
[convention 2]
[conventional 60]
[conventional, 1]
[conventionally 5]
[conventions 14]
[conventions, 1]
[conventions. 2]
[converge 1]
[convergence 23]
[convergence, 1]
[convergence. 4]
[convergent 3]
[convergent. 1]
[convergents 1]
[converges 6]
[converges, 2]
[converging 1]
[conversation 3]
[conversation, 1]
[conversational 12]
[conversationally 1]
[conversely, 1]
[converses 1]
[conversing 1]
[conversion 59]
[conversion, 15]
[conversion. 1]
[conversions 7]
[conversions. 1]
[convert 8]
[convert, 1]
[convert: 1]
[converted 8]
[converter 1]
[converters, 1]
[converting 22]
[converts 4]
[convex 17]
[convexity 1]
[conveying 1]
[conviction 1]
[convincing 1]
[convolution 3]
[convolution, 3]
[convolution; 1]
[convolutional 1]
[conway, 10]
[cook, 2]
[cooke, 1]
[cooley 1]
[cooley-turkey 1]
[cooper, 4]
[cooperating 8]
[co-operating 1]
[cooperation 4]
[cooperation, 1]
[cooperative 1]
[cooperatives. 1]
[cooper-koz 1]
[cooprider, 1]
[coordinate 16]
[coordinated 4]
[coordinates 8]
[coordinating 2]
[coordination 6]
[coordination, 4]
[coordination. 1]
[coordinators, 1]
[cope 5]
[copied 2]
[copied. 1]
[copies 4]
[copy 4]
[copy. 1]
[copying 11]
[copying, 6]
[copyright 8]
[copyrightability 1]
[copyrighted 1]
[copyrights 2]
[copyrights, 1]
[corasick, 1]
[corbato, 1]
[corc-the 1]
[cordy, 1]
[core 55]
[core, 2]
[core. 2]
[co-residents 1]
[core-storage 1]
[corley, 1]
[corneil 1]
[corneil, 3]
[corneil. 1]
[cornell 3]
[corner 1]
[corollary 1]
[coroutine, 1]
[coroutines 1]
[coroutines, 8]
[coroutines. 2]
[corporation 5]
[corporation, 2]
[corporation. 3]
[corporation; 4]
[corps 1]
[corpus 1]
[corpus.on 1]
[correct 30]
[correct, 2]
[correct. 5]
[correctable 1]
[corrected 5]
[corrected. 2]
[corrected? 1]
[correcting 5]
[correction 26]
[correction, 16]
[correction. 2]
[corrections 3]
[corrective 1]
[correctly 9]
[correctly, 1]
[correctly. 2]
[correctness 46]
[correctness) 1]
[correctness, 19]
[correctness. 3]
[corrector, 2]
[correlate 1]
[correlated 6]
[correlates 2]
[correlation 4]
[correlation, 3]
[correlational 2]
[correlations 1]
[correspond 5]
[correspondence 12]
[correspondence, 3]
[correspondence. 1]
[correspondences 2]
[correspondences, 1]
[corresponding 42]
[correspondingly 1]
[correspondingly. 1]
[corresponds 10]
[corroboration 1]
[corrupted 1]
[corwin, 1]
[cos, 1]
[coset 2]
[cosine 17]
[cost 91]
[cost) 1]
[cost, 6]
[cost. 9]
[cost/time 1]
[cost/utilization 1]
[cost/utilization, 1]
[cost/utilization: 1]
[cost-effective 1]
[costing, 1]
[cost-justified, 1]
[costly 4]
[costly. 1]
[costs 26]
[costs, 3]
[costs. 8]
[cost-time 2]
[cottafava, 1]
[cotton, 2]
[couched 1]
[couger, 1]
[could 34]
[coulomb 17]
[coulter 1]
[council 2]
[count 9]
[count. 1]
[counted 1]
[counter 5]
[counter) 1]
[counterexample 2]
[counterexamples 1]
[countering 1]
[counterintuitive 2]
[counterparts. 1]
[counters 1]
[counters, 1]
[countess 2]
[counties 1]
[counting 10]
[counting. 1]
[countries. 1]
[counts 10]
[counts, 5]
[county 5]
[coupled 8]
[coupled, 1]
[coupling 2]
[couriers 1]
[courois, 1]
[course 43]
[course, 5]
[course. 1]
[courses 23]
[courses, 10]
[courses,computer 1]
[courses. 5]
[courses; 1]
[courtois, 2]
[courts. 1]
[covariance 5]
[covariance, 5]
[covariance. 1]
[cover 11]
[cover, 2]
[coverage 3]
[coverage, 2]
[covered 2]
[covered, 1]
[covered: 2]
[covering 8]
[covering, 1]
[covers 4]
[coveyou 1]
[coveyou, 1]
[cox, 1]
[cp-67 1]
[cpa 2]
[cpi, 6]
[cpm, 1]
[cpm. 1]
[cpss 1]
[cpu 19]
[cpu) 1]
[cpu. 3]
[cpu/mass 1]
[cpu:i/o 4]
[cpu-i/o 2]
[cpu-memory 1]
[cpu's 1]
[cr 1]
[crack-type 1]
[cram 2]
[crandall, 1]
[cranston, 1]
[crash, 1]
[crawford, 2]
[cray-1 2]
[cray-1, 1]
[cray-1's 2]
[creases 1]
[creasey, 1]
[create 10]
[create, 1]
[created 14]
[created, 1]
[created. 3]
[creates 5]
[creates, 1]
[creating 7]
[creating, 1]
[creation 11]
[creation, 1]
[creative 2]
[credit 2]
[credit) 1]
[credit, 1]
[credits 1]
[crespi-reghizzi, 2]
[crime, 2]
